Player,Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%,PTS,AST,TRB,STL,BLK,FG,FGA,MP,G,3P,3PA,2P,2PA
Greivis Vasquez,2011,3.557142857142857,2.157142857142857,1.042857142857143,0.3142857142857143,0.05714285714285714,0.408,0.461,0.476,0.291,0.773,249,151,73.0,22.0,4.0,95,233,860.0,70,25.0,86.0,70,147
John Wall,2011,16.391304347826086,8.318840579710145,4.594202898550725,1.7536231884057971,0.5072463768115942,0.409,0.427,0.425,0.296,0.766,1131,574,317.0,121.0,35.0,398,972,2606.0,69,34.0,115.0,364,857
Willie Warren,2011,1.9473684210526316,1.4210526315789473,0.631578947368421,0.3157894736842105,0.0,0.371,0.443,0.4,0.333,0.75,37,27,12.0,6.0,0.0,13,35,134.0,19,5.0,15.0,8,20
Hassan Whiteside,2011,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0,2.0,1,0.0,0.0,0,0
Lavoy Allen,2012,4.121951219512195,0.8292682926829268,4.170731707317073,0.3170731707317073,0.43902439024390244,0.473,0.473,0.473,,0.786,169,34,171.0,13.0,18.0,79,167,624.0,41,0.0,0.0,79,167
Gustavo Ayon,2012,5.907407407407407,1.3703703703703705,4.907407407407407,0.9814814814814815,0.8518518518518519,0.536,0.536,0.538,0.0,0.619,319,74,265.0,53.0,46.0,140,261,1088.0,54,0.0,1.0,140,260
Keith Benson,2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0,0,3.0,0.0,0.0,0,1,9.0,3,0.0,0.0,0,1
Bismack Biyombo,2012,5.190476190476191,0.42857142857142855,5.841269841269841,0.31746031746031744,1.8253968253968254,0.464,0.464,0.464,,0.483,327,27,368.0,20.0,115.0,129,278,1455.0,63,0.0,0.0,129,278
MarShon Brooks,2012,12.642857142857142,2.3392857142857144,3.5714285714285716,0.9285714285714286,0.26785714285714285,0.428,0.465,0.463,0.313,0.764,708,131,200.0,52.0,15.0,274,640,1648.0,56,47.0,150.0,227,490
Alec Burks,2012,7.203389830508475,0.9322033898305084,2.23728813559322,0.4576271186440678,0.0847457627118644,0.429,0.45,0.442,0.333,0.727,425,55,132.0,27.0,5.0,153,357,939.0,59,15.0,45.0,138,312
Jimmy Butler,2012,2.5952380952380953,0.3333333333333333,1.3333333333333333,0.2619047619047619,0.11904761904761904,0.405,0.418,0.441,0.182,0.768,109,14,56.0,11.0,5.0,32,79,359.0,42,2.0,11.0,30,68
Derrick Byars,2012,5.0,0.5,5.5,1.0,0.0,0.273,0.273,0.6,0.0,1.0,10,1,11.0,2.0,0.0,3,11,37.0,2,0.0,6.0,3,5
Norris Cole,2012,6.7846153846153845,2.046153846153846,1.4,0.676923076923077,0.03076923076923077,0.393,0.417,0.417,0.276,0.776,441,133,91.0,44.0,2.0,177,450,1260.0,65,21.0,76.0,156,374
Eric Dawson,2012,3.75,0.0,2.5,0.25,0.5,0.583,0.583,0.583,,0.5,15,0,10.0,1.0,2.0,7,12,39.0,4,0.0,0.0,7,12
Justin Dentmon,2012,4.333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.0,0.357,0.393,0.571,0.143,0.667,26,10,8.0,2.0,0.0,10,28,91.0,6,2.0,14.0,8,14
Jerome Dyson,2012,7.444444444444445,2.0,2.111111111111111,1.2222222222222223,0.2222222222222222,0.396,0.406,0.45,0.125,0.778,67,18,19.0,11.0,2.0,19,48,180.0,9,1.0,8.0,18,40
Kenneth Faried,2012,10.23913043478261,0.782608695652174,7.6521739130434785,0.7391304347826086,1.0217391304347827,0.586,0.586,0.586,,0.665,471,36,352.0,34.0,47.0,181,309,1037.0,46,0.0,0.0,181,309
Jeff Foote,2012,1.0,0.0,1.5,0.0,0.25,0.333,0.333,0.333,,,4,0,6.0,0.0,1.0,2,6,39.0,4,0.0,0.0,2,6
Courtney Fortson,2012,3.5,1.0,1.5,0.3,0.0,0.344,0.391,0.421,0.231,0.667,35,10,15.0,3.0,0.0,11,32,95.0,10,3.0,13.0,8,19
Jimmer Fredette,2012,7.573770491803279,1.7704918032786885,1.1967213114754098,0.4918032786885246,0.04918032786885246,0.386,0.473,0.409,0.361,0.833,462,108,73.0,30.0,3.0,172,446,1135.0,61,78.0,216.0,94,230
Mickell Gladness,2012,2.1538461538461537,0.19230769230769232,2.230769230769231,0.15384615384615385,0.7692307692307693,0.424,0.424,0.424,,0.5,56,5,58.0,4.0,20.0,25,59,252.0,26,0.0,0.0,25,59
Andrew Goudelock,2012,4.375,0.5,0.775,0.1,0.0,0.391,0.471,0.404,0.373,0.917,175,20,31.0,4.0,0.0,68,174,419.0,40,28.0,75.0,40,99
Jordan Hamilton,2012,4.423076923076923,0.7692307692307693,2.3846153846153846,0.15384615384615385,0.11538461538461539,0.432,0.509,0.484,0.362,0.4,115,20,62.0,4.0,3.0,48,111,258.0,26,17.0,47.0,31,64
Justin Harper,2012,1.4285714285714286,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.21428571428571427,0.29,0.323,0.389,0.154,0.0,20,2,12.0,2.0,3.0,9,31,84.0,14,2.0,13.0,7,18
Josh Harrellson,2012,4.378378378378378,0.2972972972972973,3.891891891891892,0.6216216216216216,0.5405405405405406,0.423,0.49,0.478,0.339,0.615,162,11,144.0,23.0,20.0,63,149,540.0,37,20.0,59.0,43,90
Terrel Harris,2012,3.6363636363636362,1.1818181818181819,2.3181818181818183,0.4090909090909091,0.09090909090909091,0.349,0.398,0.477,0.205,0.667,80,26,51.0,9.0,2.0,29,83,318.0,22,8.0,39.0,21,44
Tobias Harris,2012,4.9523809523809526,0.5238095238095238,2.4047619047619047,0.30952380952380953,0.16666666666666666,0.467,0.485,0.5,0.261,0.815,208,22,101.0,13.0,7.0,79,169,479.0,42,6.0,23.0,73,146
Cory Higgins,2012,3.9473684210526314,0.9473684210526315,0.9210526315789473,0.13157894736842105,0.15789473684210525,0.325,0.338,0.343,0.2,0.7,150,36,35.0,5.0,6.0,52,160,423.0,38,4.0,20.0,48,140
Darington Hobson,2012,0.8,1.2,0.6,0.0,0.0,0.154,0.154,0.286,0.0,,4,6,3.0,0.0,0.0,2,13,39.0,5,0.0,6.0,2,7
Tyler Honeycutt,2012,1.3333333333333333,0.4666666666666667,0.9333333333333333,0.26666666666666666,0.2,0.333,0.354,0.333,0.333,0.6,20,7,14.0,4.0,3.0,8,24,88.0,15,1.0,3.0,7,21
Dennis Horner,2012,0.625,0.0,0.625,0.0,0.0,0.25,0.25,0.333,0.0,0.75,5,0,5.0,0.0,0.0,1,4,22.0,8,0.0,1.0,1,3
Kyrie Irving,2012,18.50980392156863,5.392156862745098,3.7450980392156863,1.0588235294117647,0.39215686274509803,0.469,0.517,0.491,0.399,0.872,944,275,191.0,54.0,20.0,350,747,1558.0,51,73.0,183.0,277,564
Reggie Jackson,2012,3.111111111111111,1.5777777777777777,1.1777777777777778,0.5555555555555556,0.022222222222222223,0.321,0.362,0.392,0.21,0.862,140,71,53.0,25.0,1.0,51,159,501.0,45,13.0,62.0,38,97
Charles Jenkins,2012,5.823529411764706,3.3333333333333335,1.3333333333333333,0.6470588235294118,0.11764705882352941,0.447,0.452,0.469,0.15,0.872,297,170,68.0,33.0,6.0,130,291,893.0,51,3.0,20.0,127,271
Carldell Johnson,2012,1.8,1.4666666666666666,0.6,0.5333333333333333,0.0,0.314,0.371,0.35,0.267,0.333,27,22,9.0,8.0,0.0,11,35,119.0,15,4.0,15.0,7,20
Ivan Johnson,2012,6.357142857142857,0.5714285714285714,4.035714285714286,0.7678571428571429,0.32142857142857145,0.513,0.516,0.517,0.333,0.72,356,32,226.0,43.0,18.0,141,275,934.0,56,2.0,6.0,139,269
JaJuan Johnson,2012,3.1666666666666665,0.16666666666666666,1.6111111111111112,0.1388888888888889,0.3888888888888889,0.446,0.446,0.446,,0.667,114,6,58.0,5.0,14.0,54,121,298.0,36,0.0,0.0,54,121
Jerome Jordan,2012,2.0,0.19047619047619047,1.2857142857142858,0.047619047619047616,0.2857142857142857,0.515,0.515,0.515,,0.8,42,4,27.0,1.0,6.0,17,33,108.0,21,0.0,0.0,17,33
Cory Joseph,2012,2.0,1.1724137931034482,0.8620689655172413,0.2413793103448276,0.10344827586206896,0.314,0.336,0.345,0.2,0.647,58,34,25.0,7.0,3.0,22,70,266.0,29,3.0,15.0,19,55
Enes Kanter,2012,4.606060606060606,0.12121212121212122,4.212121212121212,0.2727272727272727,0.3484848484848485,0.496,0.496,0.498,0.0,0.667,304,8,278.0,18.0,23.0,117,236,874.0,66,0.0,1.0,117,235
D.J. Kennedy,2012,6.0,1.5,3.5,1.0,0.0,0.417,0.5,0.375,0.5,0.0,12,3,7.0,2.0,0.0,5,12,59.0,2,2.0,4.0,3,8
Brandon Knight,2012,12.833333333333334,3.803030303030303,3.196969696969697,0.7424242424242424,0.15151515151515152,0.415,0.483,0.434,0.38,0.759,847,251,211.0,49.0,10.0,319,769,2129.0,66,105.0,276.0,214,493
Malcolm Lee,2012,3.263157894736842,1.631578947368421,1.368421052631579,0.42105263157894735,0.21052631578947367,0.39,0.407,0.429,0.2,0.824,62,31,26.0,8.0,4.0,23,59,243.0,19,2.0,10.0,21,49
Kawhi Leonard,2012,7.921875,1.09375,5.109375,1.328125,0.375,0.493,0.543,0.536,0.376,0.773,507,70,327.0,85.0,24.0,199,404,1534.0,64,41.0,109.0,158,295
Travis Leslie,2012,1.4,0.5,0.9,0.2,0.2,0.357,0.357,0.357,,0.444,14,5,9.0,2.0,2.0,5,14,45.0,10,0.0,0.0,5,14
Jon Leuer,2012,4.739130434782608,0.5434782608695652,2.608695652173913,0.30434782608695654,0.3695652173913043,0.508,0.516,0.516,0.333,0.75,218,25,120.0,14.0,17.0,97,191,555.0,46,3.0,9.0,94,182
DeAndre Liggins,2012,1.9411764705882353,0.29411764705882354,0.8823529411764706,0.35294117647058826,0.0,0.48,0.48,0.571,0.0,0.474,33,5,15.0,6.0,0.0,12,25,115.0,17,0.0,4.0,12,21
Shelvin Mack,2012,3.59375,2.046875,1.4375,0.4375,0.03125,0.4,0.427,0.427,0.286,0.712,230,131,92.0,28.0,2.0,88,220,779.0,64,12.0,42.0,76,178
Vernon Macklin,2012,2.0,0.21739130434782608,1.4782608695652173,0.17391304347826086,0.17391304347826086,0.543,0.543,0.543,,0.571,46,5,34.0,4.0,4.0,19,35,135.0,23,0.0,0.0,19,35
E'Twaun Moore,2012,2.8947368421052633,0.8947368421052632,0.868421052631579,0.2894736842105263,0.07894736842105263,0.381,0.456,0.382,0.378,1.0,110,34,33.0,11.0,3.0,43,113,331.0,38,17.0,45.0,26,68
Darius Morris,2012,2.4210526315789473,1.105263157894737,0.8421052631578947,0.10526315789473684,0.0,0.429,0.476,0.424,0.444,0.667,46,21,16.0,2.0,0.0,18,42,169.0,19,4.0,9.0,14,33
Marcus Morris,2012,2.3529411764705883,0.17647058823529413,0.9411764705882353,0.11764705882352941,0.11764705882352941,0.296,0.315,0.378,0.118,0.75,40,3,16.0,2.0,2.0,16,54,126.0,17,2.0,17.0,14,37
Markieff Morris,2012,7.412698412698413,1.0317460317460319,4.428571428571429,0.6507936507936508,0.6666666666666666,0.399,0.448,0.42,0.347,0.717,467,65,279.0,41.0,42.0,174,436,1227.0,63,43.0,124.0,131,312
Daniel Orton,2012,2.8125,0.3125,2.4375,0.5,0.5625,0.567,0.567,0.586,0.0,0.44,45,5,39.0,8.0,9.0,17,30,187.0,16,0.0,1.0,17,29
Jeremy Pargo,2012,2.8636363636363638,1.25,0.8409090909090909,0.3409090909090909,0.0,0.333,0.367,0.357,0.263,0.593,126,55,37.0,15.0,0.0,50,150,424.0,44,10.0,38.0,40,112
Chandler Parsons,2012,9.507936507936508,2.126984126984127,4.761904761904762,1.1587301587301588,0.4603174603174603,0.452,0.506,0.507,0.337,0.551,599,134,300.0,73.0,29.0,248,549,1804.0,63,60.0,178.0,188,371
Ryan Reid,2012,1.6,0.0,0.4,0.0,0.0,0.8,0.8,0.8,,,8,0,2.0,0.0,0.0,4,5,17.0,5,0.0,0.0,4,5
Ricky Rubio,2012,10.634146341463415,8.195121951219512,4.170731707317073,2.2195121951219514,0.1951219512195122,0.357,0.398,0.363,0.34,0.803,436,336,171.0,91.0,8.0,139,389,1404.0,41,32.0,94.0,107,295
Josh Selby,2012,2.25,1.0714285714285714,0.5357142857142857,0.25,0.0,0.347,0.361,0.404,0.133,0.786,63,30,15.0,7.0,0.0,25,72,237.0,28,2.0,15.0,23,57
Iman Shumpert,2012,9.542372881355933,2.7796610169491527,3.152542372881356,1.7118644067796611,0.13559322033898305,0.401,0.446,0.44,0.306,0.798,563,164,186.0,101.0,8.0,214,534,1705.0,59,48.0,157.0,166,377
Xavier Silas,2012,5.5,1.5,2.0,0.0,0.0,0.267,0.3,0.333,0.167,0.667,11,3,4.0,0.0,0.0,4,15,39.0,2,1.0,6.0,3,9
Chris Singleton,2012,4.636363636363637,0.7424242424242424,3.5303030303030303,1.0606060606060606,0.45454545454545453,0.372,0.442,0.389,0.346,0.682,306,49,233.0,70.0,30.0,116,312,1431.0,66,44.0,127.0,72,185
Donald Sloan,2012,5.545454545454546,3.1818181818181817,2.0303030303030303,0.3939393939393939,0.09090909090909091,0.399,0.404,0.445,0.08,0.767,183,105,67.0,13.0,3.0,79,198,669.0,33,2.0,25.0,77,173
Jerry Smith,2012,1.4,0.8,1.4,1.0,0.0,0.214,0.25,0.25,0.167,,7,4,7.0,5.0,0.0,3,14,46.0,5,1.0,6.0,2,8
Nolan Smith,2012,3.7954545454545454,1.4090909090909092,1.2727272727272727,0.4090909090909091,0.06818181818181818,0.372,0.408,0.4,0.289,0.714,167,62,56.0,18.0,3.0,67,180,541.0,44,13.0,45.0,54,135
Greg Stiemsma,2012,2.9272727272727272,0.509090909090909,3.2181818181818183,0.6727272727272727,1.5454545454545454,0.545,0.545,0.545,,0.707,161,28,177.0,37.0,85.0,66,121,766.0,55,0.0,0.0,66,121
Julyan Stone,2012,1.6363636363636365,1.6818181818181819,1.1363636363636365,0.36363636363636365,0.2727272727272727,0.419,0.452,0.55,0.182,0.727,36,37,25.0,8.0,6.0,13,31,179.0,22,2.0,11.0,11,20
Isaiah Thomas,2012,11.523076923076923,4.092307692307692,2.5846153846153848,0.8153846153846154,0.12307692307692308,0.448,0.521,0.491,0.379,0.832,749,266,168.0,53.0,8.0,256,571,1656.0,65,83.0,219.0,173,352
Lance Thomas,2012,3.9523809523809526,0.2857142857142857,3.0,0.23809523809523808,0.16666666666666666,0.452,0.452,0.456,0.0,0.839,166,12,126.0,10.0,7.0,57,126,630.0,42,0.0,1.0,57,125
Malcolm Thomas,2012,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,,0.5,1,1,3.0,1.0,1.0,0,3,15.0,3,0.0,0.0,0,3
Trey Thompkins,2012,2.375,0.125,1.0,0.125,0.125,0.393,0.426,0.417,0.308,0.714,57,3,24.0,3.0,3.0,24,61,119.0,24,4.0,13.0,20,48
Klay Thompson,2012,12.515151515151516,2.015151515151515,2.4393939393939394,0.7424242424242424,0.30303030303030304,0.443,0.52,0.46,0.414,0.868,826,133,161.0,49.0,20.0,318,718,1608.0,66,111.0,268.0,207,450
Mychel Thompson,2012,3.6,1.4,1.0,0.4,0.2,0.292,0.375,0.231,0.364,,18,7,5.0,2.0,1.0,7,24,95.0,5,4.0,11.0,3,13
Tristan Thompson,2012,8.233333333333333,0.45,6.483333333333333,0.45,1.0333333333333334,0.439,0.439,0.441,0.0,0.552,494,27,389.0,27.0,62.0,194,442,1424.0,60,0.0,2.0,194,440
Jeremy Tyler,2012,4.880952380952381,0.38095238095238093,3.3333333333333335,0.38095238095238093,0.47619047619047616,0.421,0.421,0.423,0.0,0.558,205,16,140.0,16.0,20.0,88,209,568.0,42,0.0,1.0,88,208
Edwin Ubiles,2012,3.5,0.25,2.5,0.25,0.25,0.278,0.306,0.308,0.2,1.0,14,1,10.0,1.0,1.0,5,18,52.0,4,1.0,5.0,4,13
Jan Vesely,2012,4.684210526315789,0.8245614035087719,4.368421052631579,0.6842105263157895,0.5614035087719298,0.537,0.537,0.539,0.0,0.532,267,47,249.0,39.0,32.0,117,218,1078.0,57,0.0,1.0,117,217
Nikola Vucevic,2012,5.549019607843137,0.6078431372549019,4.823529411764706,0.39215686274509803,0.6666666666666666,0.45,0.455,0.452,0.375,0.529,283,31,246.0,20.0,34.0,131,291,812.0,51,3.0,8.0,128,283
Kemba Walker,2012,12.106060606060606,4.378787878787879,3.5454545454545454,0.9090909090909091,0.30303030303030304,0.366,0.411,0.392,0.305,0.789,799,289,234.0,60.0,20.0,281,767,1792.0,66,69.0,226.0,212,541
Derrick Williams,2012,8.833333333333334,0.5757575757575758,4.712121212121212,0.45454545454545453,0.4696969696969697,0.412,0.449,0.467,0.268,0.697,583,38,311.0,30.0,31.0,205,498,1418.0,66,37.0,138.0,168,360
Elliot Williams,2012,3.6666666666666665,0.25,0.7916666666666666,0.25,0.125,0.5,0.554,0.617,0.296,0.333,88,6,19.0,6.0,3.0,37,74,149.0,24,8.0,27.0,29,47
Jordan Williams,2012,4.5813953488372094,0.2558139534883721,3.627906976744186,0.4883720930232558,0.3488372093023256,0.507,0.507,0.507,,0.652,197,11,156.0,21.0,15.0,77,152,635.0,43,0.0,0.0,77,152
Chris Wright,2012,2.9166666666666665,0.16666666666666666,1.875,0.2916666666666667,0.5416666666666666,0.511,0.511,0.511,,0.774,70,4,45.0,7.0,13.0,23,45,186.0,24,0.0,0.0,23,45
Quincy Acy,2013,4.0,0.3793103448275862,2.6551724137931036,0.4482758620689655,0.5172413793103449,0.56,0.567,0.562,0.5,0.816,116,11,77.0,13.0,15.0,42,75,342.0,29,1.0,2.0,41,73
Josh Akognon,2013,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.625,0.5,0.5,,5,1,1.0,0.0,0.0,2,4,9.0,3,1.0,2.0,1,2
Harrison Barnes,2013,9.234567901234568,1.2098765432098766,4.111111111111111,0.6419753086419753,0.1728395061728395,0.439,0.481,0.464,0.359,0.758,748,98,333.0,52.0,14.0,276,628,2058.0,81,52.0,145.0,224,483
Will Barton,2013,4.041095890410959,0.7945205479452054,1.9863013698630136,0.4657534246575342,0.1232876712328767,0.382,0.396,0.447,0.138,0.769,295,58,145.0,34.0,9.0,118,309,894.0,73,9.0,65.0,109,244
Aron Baynes,2013,2.6875,0.3125,2.0,0.0625,0.375,0.5,0.5,0.514,0.0,0.583,43,5,32.0,1.0,6.0,18,36,141.0,16,0.0,1.0,18,35
Kent Bazemore,2013,2.0163934426229506,0.36065573770491804,0.36065573770491804,0.2786885245901639,0.06557377049180328,0.371,0.414,0.402,0.294,0.614,123,22,22.0,17.0,4.0,43,116,267.0,61,10.0,34.0,33,82
Bradley Beal,2013,13.928571428571429,2.4464285714285716,3.767857142857143,0.8928571428571429,0.5178571428571429,0.41,0.477,0.424,0.386,0.786,780,137,211.0,50.0,29.0,282,687,1745.0,56,91.0,236.0,191,451
Patrick Beverley,2013,5.560975609756097,2.8536585365853657,2.658536585365854,0.9024390243902439,0.5121951219512195,0.418,0.513,0.462,0.375,0.829,228,117,109.0,37.0,21.0,79,189,713.0,41,36.0,96.0,43,93
Victor Claver,2013,3.816326530612245,0.8775510204081632,2.4285714285714284,0.5306122448979592,0.24489795918367346,0.392,0.458,0.48,0.287,0.467,187,43,119.0,26.0,12.0,74,189,812.0,49,25.0,87.0,49,102
Chris Copeland,2013,8.678571428571429,0.48214285714285715,2.125,0.2857142857142857,0.21428571428571427,0.479,0.557,0.513,0.421,0.759,486,27,119.0,16.0,12.0,182,380,862.0,56,59.0,140.0,123,240
Jae Crowder,2013,5.0256410256410255,1.205128205128205,2.3974358974358974,0.8076923076923077,0.21794871794871795,0.384,0.47,0.446,0.328,0.644,392,94,187.0,63.0,17.0,141,367,1353.0,78,63.0,192.0,78,175
Jared Cunningham,2013,2.0,0.125,0.375,0.125,0.0,0.429,0.5,0.364,0.667,1.0,16,1,3.0,1.0,0.0,6,14,26.0,8,2.0,3.0,4,11
Anthony Davis,2013,13.546875,0.984375,8.15625,1.171875,1.75,0.516,0.516,0.521,0.0,0.751,867,63,522.0,75.0,112.0,349,676,1846.0,64,0.0,6.0,349,670
Nando De,2013,3.8333333333333335,1.9166666666666667,1.9166666666666667,0.5694444444444444,0.08333333333333333,0.436,0.5,0.465,0.378,0.795,276,138,138.0,41.0,6.0,105,241,920.0,72,31.0,82.0,74,159
Andre Drummond,2013,7.933333333333334,0.5,7.616666666666666,0.9833333333333333,1.5833333333333333,0.608,0.61,0.609,0.5,0.371,476,30,457.0,59.0,95.0,208,342,1243.0,60,1.0,2.0,207,340
Kim English,2013,2.902439024390244,0.6341463414634146,0.9024390243902439,0.3902439024390244,0.07317073170731707,0.375,0.438,0.452,0.28,0.724,119,26,37.0,16.0,3.0,42,112,407.0,41,14.0,50.0,28,62
Festus Ezeli,2013,2.448717948717949,0.28205128205128205,4.012820512820513,0.2948717948717949,0.9487179487179487,0.438,0.438,0.438,,0.531,191,22,313.0,23.0,74.0,74,169,1120.0,78,0.0,0.0,74,169
Evan Fournier,2013,5.315789473684211,1.1578947368421053,0.9210526315789473,0.5,0.02631578947368421,0.493,0.566,0.541,0.407,0.769,202,44,35.0,19.0,1.0,75,152,428.0,38,22.0,54.0,53,98
Joel Freeland,2013,2.627450980392157,0.2549019607843137,2.3333333333333335,0.2549019607843137,0.21568627450980393,0.408,0.408,0.408,,0.667,134,13,119.0,13.0,11.0,58,142,477.0,51,0.0,0.0,58,142
Diante Garrett,2013,2.1052631578947367,1.631578947368421,0.7894736842105263,0.5263157894736842,0.0,0.327,0.357,0.382,0.2,0.5,40,31,15.0,10.0,0.0,16,49,149.0,19,3.0,15.0,13,34
Draymond Green,2013,2.8734177215189876,0.6708860759493671,3.2911392405063293,0.5316455696202531,0.31645569620253167,0.327,0.354,0.368,0.209,0.818,227,53,260.0,42.0,25.0,84,257,1061.0,79,14.0,67.0,70,190
Ben Hansbrough,2013,2.0357142857142856,0.75,0.6428571428571429,0.25,0.07142857142857142,0.333,0.4,0.409,0.261,0.778,57,21,18.0,7.0,2.0,15,45,200.0,28,6.0,23.0,9,22
Maurice Harkless,2013,8.223684210526315,0.6578947368421053,4.407894736842105,1.1578947368421053,0.8157894736842105,0.461,0.489,0.51,0.274,0.57,625,50,335.0,88.0,62.0,260,564,1974.0,76,32.0,117.0,228,447
John Henson,2013,6.031746031746032,0.49206349206349204,4.714285714285714,0.30158730158730157,0.6666666666666666,0.482,0.482,0.486,0.0,0.533,380,31,297.0,19.0,42.0,162,336,827.0,63,0.0,3.0,162,333
Justin Holiday,2013,4.666666666666667,1.6666666666666667,1.5555555555555556,0.3333333333333333,0.6666666666666666,0.333,0.375,0.375,0.25,0.75,42,15,14.0,3.0,6.0,16,48,142.0,9,4.0,16.0,12,32
Bernard James,2013,2.847826086956522,0.13043478260869565,2.847826086956522,0.2608695652173913,0.8260869565217391,0.515,0.515,0.525,0.0,0.61,131,6,131.0,12.0,38.0,53,103,457.0,46,0.0,2.0,53,101
John Jenkins,2013,6.131147540983607,0.9180327868852459,1.540983606557377,0.19672131147540983,0.16393442622950818,0.446,0.536,0.5,0.384,0.843,374,56,94.0,12.0,10.0,131,294,902.0,61,53.0,138.0,78,156
Orlando Johnson,2013,3.980392156862745,0.9215686274509803,2.156862745098039,0.21568627450980393,0.17647058823529413,0.4,0.5,0.419,0.383,0.719,203,47,110.0,11.0,9.0,72,180,619.0,51,36.0,94.0,36,86
Darius Johnson-Odom,2013,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,1,4.0,0.0,0.0,0,4,6.0,4,0.0,1.0,0,3
DeQuan Jones,2013,3.6984126984126986,0.25396825396825395,1.6666666666666667,0.30158730158730157,0.3492063492063492,0.436,0.456,0.47,0.257,0.667,233,16,105.0,19.0,22.0,95,218,803.0,63,9.0,35.0,86,183
Kevin Jones,2013,2.96875,0.3125,2.4375,0.28125,0.15625,0.402,0.402,0.402,,0.6,95,10,78.0,9.0,5.0,43,107,334.0,32,0.0,0.0,43,107
Perry Jones,2013,2.3157894736842106,0.2631578947368421,1.631578947368421,0.13157894736842105,0.15789473684210525,0.394,0.394,0.402,0.0,0.667,88,10,62.0,5.0,6.0,39,99,280.0,38,0.0,2.0,39,97
Terrence Jones,2013,5.473684210526316,0.7894736842105263,3.4210526315789473,0.631578947368421,1.0,0.457,0.484,0.507,0.263,0.765,104,15,65.0,12.0,19.0,43,94,276.0,19,5.0,19.0,38,75
Kris Joseph,2013,0.9,0.1,0.7,0.3,0.0,0.143,0.143,0.182,0.0,0.625,9,1,7.0,3.0,0.0,2,14,54.0,10,0.0,3.0,2,11
Michael Kidd-Gilchrist,2013,9.025641025641026,1.5,5.833333333333333,0.6923076923076923,0.8974358974358975,0.458,0.46,0.462,0.222,0.749,704,117,455.0,54.0,70.0,281,613,2025.0,78,2.0,9.0,279,604
Viacheslav Kravtsov,2013,3.08,0.36,1.8,0.2,0.36,0.717,0.717,0.717,,0.297,77,9,45.0,5.0,9.0,33,46,224.0,25,0.0,0.0,33,46
Doron Lamb,2013,3.276595744680851,0.6808510638297872,0.9787234042553191,0.2765957446808511,0.0,0.368,0.411,0.365,0.378,0.588,154,32,46.0,13.0,0.0,60,163,577.0,47,14.0,37.0,46,126
Jeremy Lamb,2013,3.0869565217391304,0.21739130434782608,0.782608695652174,0.08695652173913043,0.08695652173913043,0.353,0.419,0.395,0.3,1.0,71,5,18.0,2.0,2.0,24,68,147.0,23,9.0,30.0,15,38
Meyers Leonard,2013,5.463768115942029,0.4782608695652174,3.6956521739130435,0.15942028985507245,0.5507246376811594,0.545,0.551,0.548,0.429,0.809,377,33,255.0,11.0,38.0,151,277,1206.0,69,3.0,7.0,148,270
Damian Lillard,2013,19.048780487804876,6.475609756097561,3.1341463414634148,0.9024390243902439,0.23170731707317074,0.429,0.501,0.469,0.368,0.844,1562,531,257.0,74.0,19.0,553,1288,3167.0,82,185.0,503.0,368,785
Scott Machado,2013,1.3333333333333333,1.0,0.16666666666666666,0.3333333333333333,0.0,0.5,0.5,0.6,0.0,1.0,8,6,1.0,2.0,0.0,3,6,21.0,6,0.0,1.0,3,5
Kendall Marshall,2013,2.9791666666666665,2.9791666666666665,0.875,0.4583333333333333,0.08333333333333333,0.371,0.447,0.423,0.315,0.571,143,143,42.0,22.0,4.0,56,151,702.0,48,23.0,73.0,33,78
Fab Melo,2013,1.1666666666666667,0.0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,,0.25,7,0,3.0,2.0,2.0,3,6,36.0,6,0.0,0.0,3,6
Khris Middleton,2013,6.111111111111111,1.037037037037037,1.8518518518518519,0.5555555555555556,0.14814814814814814,0.44,0.489,0.5,0.311,0.844,165,28,50.0,15.0,4.0,62,141,475.0,27,14.0,45.0,48,96
Darius Miller,2013,2.269230769230769,0.8461538461538461,1.5,0.3269230769230769,0.23076923076923078,0.407,0.509,0.423,0.393,1.0,118,44,78.0,17.0,12.0,44,108,694.0,52,22.0,56.0,22,52
Quincy Miller,2013,1.2857142857142858,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.333,0.333,0.364,0.0,0.5,9,3,2.0,1.0,0.0,4,12,26.0,7,0.0,1.0,4,11
Donatas Motiejunas,2013,5.681818181818182,0.7045454545454546,2.1136363636363638,0.1590909090909091,0.22727272727272727,0.455,0.512,0.562,0.289,0.627,250,31,93.0,7.0,10.0,97,213,538.0,44,24.0,83.0,73,130
