Player,Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%,PTS,AST,TRB,STL,BLK,FG,FGA,MP,G,3P,3PA,2P,2PA
Connie Rea,1954,1.15,0.8,1.55,,,0.209,0.209,0.209,,0.313,23,16,31.0,,,9,43,154.0,20,,,9,43
Frank Reddout,1954,1.8571428571428572,0.0,1.2857142857142858,,,0.833,0.833,0.833,,0.75,13,0,9.0,,,5,6,18.0,7,,,5,6
Al Roges,1954,8.507462686567164,2.388059701492537,3.1791044776119404,,,0.358,0.358,0.358,,0.726,570,160,213.0,,,220,614,1937.0,67,,,220,614
Ed Smith,1954,2.9166666666666665,0.8333333333333334,2.6666666666666665,,,0.286,0.286,0.286,,0.538,35,10,32.0,,,14,49,127.0,12,,,14,49
Joe Smyth,1954,3.275,1.225,2.45,,,0.348,0.348,0.348,,0.538,131,49,98.0,,,48,138,495.0,40,,,48,138
Don Sunderlage,1954,11.176470588235293,2.75,3.3088235294117645,,,0.34,0.34,0.34,,0.748,760,187,225.0,,,254,748,2232.0,68,,,254,748
Norm Swanson,1954,1.5873015873015872,0.5238095238095238,1.746031746031746,,,0.226,0.226,0.226,,0.594,100,33,110.0,,,31,137,611.0,63,,,31,137
Hal Uplinger,1954,3.739130434782609,1.1304347826086956,1.3478260869565217,,,0.351,0.351,0.351,,0.909,86,26,31.0,,,33,94,268.0,23,,,33,94
Isaac Walthour,1954,0.5,0.5,0.25,,,0.167,0.167,0.167,,,2,2,1.0,,,1,6,30.0,4,,,1,6
George Yardley*,1954,8.952380952380953,1.5714285714285714,6.4603174603174605,,,0.425,0.425,0.425,,0.712,564,99,407.0,,,209,492,1489.0,63,,,209,492
Don Anielak,1955,3.0,0.0,2.0,,,0.0,0.0,0.0,,0.75,3,0,2.0,,,0,4,10.0,1,,,0,4
Tom Brennan,1955,0.9090909090909091,0.18181818181818182,0.45454545454545453,,,0.455,0.455,0.455,,,10,2,5.0,,,5,11,52.0,11,,,5,11
Bob Carney,1955,3.6315789473684212,0.8421052631578947,2.3684210526315788,,,0.375,0.375,0.375,,0.525,69,16,45.0,,,24,64,244.0,19,,,24,64
Fred Christ,1955,3.3333333333333335,1.1666666666666667,1.3333333333333333,,,0.278,0.278,0.278,,0.909,20,7,8.0,,,5,18,48.0,6,,,5,18
Bert Cook,1955,3.189189189189189,0.8918918918918919,1.945945945945946,,,0.316,0.316,0.316,,0.68,118,33,72.0,,,42,133,424.0,37,,,42,133
Larry Costello,1955,6.2105263157894735,4.105263157894737,2.5789473684210527,,,0.331,0.331,0.331,,0.813,118,78,49.0,,,46,139,463.0,19,,,46,139
George Dempsey,1955,7.333333333333333,3.625,4.916666666666667,,,0.353,0.353,0.353,,0.695,352,174,236.0,,,127,360,1387.0,48,,,127,360
Fred Diute,1955,1.5714285714285714,0.5714285714285714,1.8571428571428572,,,0.095,0.095,0.095,,0.583,11,4,13.0,,,2,21,72.0,7,,,2,21
Dick Farley,1955,5.913043478260869,1.608695652173913,2.420289855072464,,,0.385,0.385,0.385,,0.677,408,111,167.0,,,136,353,1113.0,69,,,136,353
Chuck Grigsby,1955,2.2857142857142856,1.0,1.5714285714285714,,,0.368,0.368,0.368,,0.25,16,7,11.0,,,7,19,45.0,7,,,7,19
