Player,Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%
Max Morris,1950,12.596774193548388,3.129032258064516,,,,0.363,0.363,0.363,,0.667
Joe Mullaney,1950,0.8108108108108109,1.4054054054054055,,,,0.129,0.129,0.129,,0.8
Jerry Nagel,1950,0.9285714285714286,1.2857142857142858,,,,0.214,0.214,0.214,,0.25
Jack Nichols,1950,13.119402985074627,2.1194029850746268,,,,0.366,0.366,0.366,,0.753
Richie Niemiera,1950,5.4,1.9333333333333333,,,,0.314,0.314,0.314,,0.748
Paul Noel,1950,3.830769230769231,1.0307692307692307,,,,0.337,0.337,0.337,,0.609
Jim Nolan,1950,1.6,0.8,,,,0.19,0.19,0.19,,
Johnny Norlander,1950,6.275,0.825,,,,0.338,0.338,0.338,,0.624
George Nostrand,1950,3.8545454545454545,0.5272727272727272,,,,0.306,0.306,0.306,,0.566
Mike Novak,1950,1.65,1.0166666666666666,,,,0.248,0.248,0.248,,0.532
Dermie O'Connell,1950,4.409836065573771,1.4918032786885247,,,,0.261,0.261,0.261,,0.528
Andy O'Donnell,1950,3.6,0.68,,,,0.352,0.352,0.352,,0.778
Dick O'Keefe,1950,6.970588235294118,1.088235294117647,,,,0.306,0.306,0.306,,0.739
John Oldham,1950,6.0508474576271185,1.6779661016949152,,,,0.298,0.298,0.298,,0.71
Gene Ollrich,1950,3.142857142857143,1.7142857142857142,,,,0.236,0.236,0.236,,0.714
Johnny Orr,1950,2.7058823529411766,0.5882352941176471,,,,0.339,0.339,0.339,,0.857
Don Otten,1950,12.890625,1.421875,,,,0.373,0.373,0.373,,0.737
Mac Otten,1950,2.406779661016949,0.6101694915254238,,,,0.329,0.329,0.329,,0.494
Red Owens,1950,3.9344262295081966,1.1967213114754098,,,,0.299,0.299,0.299,,0.673
Easy Parham,1950,5.484848484848484,2.0,,,,0.325,0.325,0.325,,0.494
Jack Parkinson,1950,0.75,0.5,,,,0.083,0.083,0.083,,1.0
Charlie Parsley,1950,2.4444444444444446,0.8888888888888888,,,,0.258,0.258,0.258,,0.857
Stan Patrick,1950,6.056603773584905,1.3962264150943395,,,,0.395,0.395,0.395,,0.605
Johnny Payak,1950,6.096153846153846,1.6538461538461537,,,,0.296,0.296,0.296,,0.699
Warren Perkins,1950,6.183333333333334,1.9,,,,0.303,0.303,0.303,,0.59
Ed Peterson,1950,7.17741935483871,0.532258064516129,,,,0.428,0.428,0.428,,0.6
Jack Phelan,1950,4.109090909090909,1.0363636363636364,,,,0.325,0.325,0.325,,0.578
Andy Phillip*,1950,11.661538461538461,5.8,,,,0.349,0.349,0.349,,0.704
Jim Pollard*,1950,14.742424242424242,3.8181818181818183,,,,0.346,0.346,0.346,,0.764
John Pritchard,1950,3.142857142857143,1.1428571428571428,,,,0.31,0.31,0.31,,0.364
Les Pugh,1950,4.482142857142857,0.2857142857142857,,,,0.249,0.249,0.249,,0.846
Don Putman,1950,2.3684210526315788,1.5789473684210527,,,,0.255,0.255,0.255,,0.635
George Ratkovicz,1950,8.629032258064516,2.0,,,,0.369,0.369,0.369,,0.606
Don Ray,1950,5.967213114754099,0.9836065573770492,,,,0.323,0.323,0.323,,0.698
Chick Reiser,1950,9.044776119402986,2.5970149253731343,,,,0.305,0.305,0.305,,0.835
Arnie Risen*,1950,10.080645161290322,1.4838709677419355,,,,0.344,0.344,0.344,,0.664
Tex Ritter,1950,5.241935483870968,0.8225806451612904,,,,0.337,0.337,0.337,,0.71
Bill Roberts,1950,2.716417910447761,0.3582089552238806,,,,0.347,0.347,0.347,,0.718
Red Rocha,1950,11.846153846153847,2.3846153846153846,,,,0.405,0.405,0.405,,0.703
Kenny Rollins,1950,5.363636363636363,1.9848484848484849,,,,0.342,0.342,0.342,,0.742
Bob Royer,1950,4.690476190476191,2.0238095238095237,,,,0.338,0.338,0.338,,0.707
Jerry Rullo,1950,1.75,0.5,,,,0.333,0.333,0.333,,1.0
Ed Sadowski,1950,12.63768115942029,1.9710144927536233,,,,0.324,0.324,0.324,,0.735
Kenny Sailors,1950,17.31578947368421,4.017543859649122,,,,0.349,0.349,0.349,,0.721
Pep Saul,1950,3.7142857142857144,0.5714285714285714,,,,0.404,0.404,0.404,,0.723
Herm Schaefer,1950,5.076923076923077,3.123076923076923,,,,0.389,0.389,0.389,,0.851
Marv Schatzman,1950,3.3823529411764706,1.1176470588235294,,,,0.247,0.247,0.247,,0.58
Fred Schaus,1950,14.294117647058824,2.588235294117647,,,,0.352,0.352,0.352,,0.818
Dolph Schayes*,1950,16.75,4.046875,,,,0.385,0.385,0.385,,0.774
Milt Schoon,1950,8.0,1.3548387096774193,,,,0.41,0.41,0.41,,0.653
Howie Schultz,1950,8.26865671641791,2.5223880597014925,,,,0.267,0.267,0.267,,0.695
Dick Schulz,1950,4.18,1.32,,,,0.297,0.297,0.297,,0.755
Fred Scolari,1950,13.030303030303031,2.6515151515151514,,,,0.343,0.343,0.343,,0.822
Wayne See,1950,5.245901639344262,2.3442622950819674,,,,0.373,0.373,0.373,,0.696
Glen Selbo,1950,3.230769230769231,1.7692307692307692,,,,0.196,0.196,0.196,,0.759
Rollie Seltz,1950,7.823529411764706,1.8823529411764706,,,,0.301,0.301,0.301,,0.769
Jim Seminoff,1950,4.8,3.830769230769231,,,,0.3,0.3,0.3,,0.755
George Senesky,1950,8.985294117647058,3.8823529411764706,,,,0.32,0.32,0.32,,0.704
Paul Seymour,1950,7.67741935483871,3.0483870967741935,,,,0.334,0.334,0.334,,0.716
Carl Shaeffer,1950,3.488372093023256,0.9302325581395349,,,,0.369,0.369,0.369,,0.561
Howie Shannon,1950,8.761194029850746,2.5970149253731343,,,,0.344,0.344,0.344,,0.786
Charley Shipp,1950,4.6521739130434785,2.0,,,,0.255,0.255,0.255,,0.725
Connie Simmons,1950,11.333333333333334,1.7,,,,0.331,0.331,0.331,,0.662
Belus Smawley,1950,13.672131147540984,3.5245901639344264,,,,0.345,0.345,0.345,,0.828
Jack Smiley,1950,5.627118644067797,2.7288135593220337,,,,0.269,0.269,0.269,,0.677
Chips Sobek,1950,5.766666666666667,1.5833333333333333,,,,0.378,0.378,0.378,,0.761
